time,open,high,low,close,tick_volume,spread,real_volume,SMA_20,EMA_20,SMA_50,EMA_50,SMA_200,EMA_200,RSI,MACD,MACD_SIGNAL,MACD_HIST,ATR,trend,support,resistance
2025-10-02 08:00:00,3864.23,3871.44,3864.22,3867.84,3156,7,0,,3867.84,,3867.84,,3867.84,,0.0,0.0,0.0,,0,,
2025-10-02 09:00:00,3867.92,3874.33,3862.16,3864.19,3881,6,0,,3865.9237500000004,,3865.9784999999997,,3866.005875,,-0.08189102564119821,-0.04549501424511012,-0.03639601139608809,,-1,,
2025-10-02 10:00:00,3863.91,3874.68,3861.7,3868.55,4466,11,0,,3866.888093255621,,3866.8701773096923,,3866.862411146574,,0.03085791815419725,-0.014202828835557919,0.045060746989755165,,1,,
2025-10-02 11:00:00,3868.74,3878.68,3864.64,3874.61,3993,10,0,,3869.1172883416466,,3868.922746721312,,3868.8284581763583,,0.3001760907195603,0.09229409513297805,0.20788199558658227,,1,,
2025-10-02 12:00:00,3874.6,3879.59,3873.38,3879.06,3781,7,0,,3871.5223456811627,,3871.1155701849543,,3870.9158963069012,,0.6172758363572939,0.24846429421208197,0.36881154214521195,,1,,
2025-10-02 13:00:00,3879.09,3883.77,3875.79,3881.83,3651,6,0,,3873.696789915559,,3873.084543950902,,3872.7806906542264,,0.9147398756108487,0.42906202097686175,0.48567785463398694,,1,,
2025-10-02 14:00:00,3881.94,3886.66,3879.74,3886.34,3669,7,0,,3876.0873080001884,,3875.212828710173,,3874.7763279662204,,1.2940609858387688,0.6479701829108651,0.6460908029279038,,1,,
2025-10-02 15:00:00,3886.31,3891.97,3880.12,3884.37,4723,5,0,,3877.5190129311436,,3876.5239949033466,,3876.017926857931,,1.433907831227316,0.8368457793620606,0.5970620518652553,,1,,
2025-10-02 16:00:00,3884.5,3896.82,3873.45,3875.41,5124,5,0,,3877.180716944418,,3876.379509906696,,3875.947646172568,,1.0643934078930215,0.8894104104223188,0.17498299747070267,,-1,,
2025-10-02 17:00:00,3875.29,3876.64,3825.53,3839.91,5576,5,0,,3871.56806991717,,3872.041903881099,,3872.1795611194943,,-1.0417976394865036,0.45670770076929657,-1.4985053402558002,,-1,,
