time,open,high,low,close,tick_volume,spread,real_volume,SMA_20,EMA_20,SMA_50,EMA_50,SMA_200,EMA_200,RSI,MACD,MACD_SIGNAL,MACD_HIST,ATR,trend,support,resistance,swing_high,swing_low,structure,structure_HTF,liquidity_sweep_high,liquidity_sweep_low,bullish_engulf,bearish_engulf,fvg_bullish,fvg_bearish
2025-09-03 05:00:00,3538.7,3545.98,3537.74,3540.0,1187,5,0,,3540.0,,3540.0,,3540.0,,0.0,0.0,0.0,,0,,,False,False,NONE,NONE,False,False,False,False,False,False
2025-09-03 05:15:00,3539.97,3544.1,3539.64,3540.75,1061,6,0,,3540.39375,,3540.3825,,3540.376875,,0.0168269230766782,0.0093482905981545,0.0074786324785236,,1,,,False,False,NONE,NONE,False,False,False,False,False,False
2025-09-03 05:30:00,3540.74,3541.51,3535.69,3538.32,1233,5,0,,3539.63228143214,,3539.667320357286,,3539.684382380148,,-0.0539133146744461,-0.016578596808649,-0.0373347178657971,,-1,,,False,False,NONE,NONE,False,False,False,False,False,False
2025-09-03 05:45:00,3538.25,3540.16,3531.34,3531.61,1198,5,0,,3537.316372817956,,3537.5305518592563,,3537.6354074285646,,-0.3270280773999729,-0.121744410017092,-0.2052836673828809,,-1,,,False,False,NONE,NONE,False,False,False,False,False,False
2025-09-03 06:00:00,3531.73,3533.18,3530.14,3530.83,1132,11,0,,3535.7473744311264,,3536.0811328763825,,3536.2469688916226,,-0.4995877852056765,-0.2341442717462045,-0.2654435134594719,,-1,,,False,False,NONE,NONE,False,False,False,False,False,True
2025-09-03 06:15:00,3530.85,3533.37,3529.83,3531.06,1187,13,0,,3534.7585525332497,,3535.158407254992,,3535.3607183537097,,-0.584094047320832,-0.3290001177580625,-0.2550939295627695,,-1,,,False,False,NONE,NONE,False,False,False,False,False,False
2025-09-03 06:30:00,3531.01,3532.7,3529.36,3530.45,977,13,0,,3533.943911893687,,3534.402429387153,,3534.637966735213,,-0.6558619477491447,-0.411720127048658,-0.2441418207004867,,-1,,,False,True,NONE,NONE,False,False,False,False,False,False
2025-09-03 06:45:00,3530.29,3533.04,3530.27,3530.85,970,13,0,,3533.4091136766056,,3533.893776095798,,3534.147733664526,,-0.6744152162127648,-0.4748506969570395,-0.1995645192557252,,-1,,,False,False,NONE,NONE,False,False,False,False,False,False
2025-09-03 07:00:00,3530.82,3532.89,3530.74,3532.11,920,10,0,,3533.200729490522,,3533.6624205640514,,3533.9121571035284,,-0.6144883040701643,-0.5071076769459125,-0.1073806271242517,,-1,,,False,False,NONE,NONE,False,False,False,False,False,False
2025-09-03 07:15:00,3532.07,3534.99,3532.07,3534.23,978,5,0,,3533.3557287107915,,3533.7299272562905,,3533.9453906577314,,-0.4538378437136998,-0.4951721419923215,0.0413342982786217,,1,,,False,False,NONE,NONE,False,False,False,False,False,False
2025-09-03 07:30:00,3534.22,3538.19,3534.22,3537.31,1052,7,0,,3533.919974851819,,3534.1242937426323,,3534.266786117661,,-0.1672958084946003,-0.4234346736874304,0.2561388651928301,,1,,,False,False,NONE,NONE,False,False,False,False,True,False
2025-09-03 07:45:00,3537.4,3538.28,3535.99,3536.87,932,15,0,,3534.3218513341376,,3534.406714723448,,3534.495849812096,,0.0208888581523751,-0.3280126132576648,0.34890147141004,,1,,,True,False,NONE,NONE,False,False,False,False,True,False
2025-09-03 08:00:00,3536.86,3538.03,3534.38,3535.69,996,14,0,,3534.5008927826484,,3534.5308142212425,,3534.5933194868617,,0.0935185642429132,-0.2388019708236721,0.3323205350665854,,1,,,False,False,NONE,NONE,False,False,False,False,False,False
2025-09-03 08:15:00,3535.71,3536.08,3532.93,3534.74,1058,10,0,,3534.531106910244,,3534.549943701691,,3534.604491230192,,0.091609893437635,-0.1696795622947117,0.2612894557323467,4.154285714285736,1,,,False,False,NONE,NONE,False,False,False,False,False,False
2025-09-03 08:30:00,3534.69,3534.79,3531.98,3532.5,1144,7,0,,3534.2821987161537,,3534.3717872331204,,3534.4541592229025,33.82226056945663,-0.0439236039646857,-0.1436111706368592,0.0996875666721735,3.766428571428573,-1,,,False,False,NONE,NONE,False,False,False,False,False,False
2025-09-03 08:45:00,3532.55,3533.35,3527.09,3529.94,1136,5,0,,3533.764216788336,,3534.0041624226947,,3534.150373120751,28.37134853941608,-0.3014766675678402,-0.1760987130473946,-0.1253779545204455,3.894999999999982,-1,,,False,True,NONE,NONE,False,False,False,False,False,False
2025-09-03 09:00:00,3529.92,3533.38,3529.92,3533.13,1187,8,0,,3533.6903378619663,,3533.934687619216,,3534.0854300379847,39.92233009708745,-0.2967437613724542,-0.2007835764198356,-0.0959601849526185,3.726428571428544,-1,,,False,False,NONE,NONE,False,False,True,False,False,False
2025-09-03 09:15:00,3533.09,3535.02,3531.21,3533.31,1097,11,0,,3533.64695480164,,3533.8869614998234,,3534.0385917390204,54.42247658688813,-0.2781272542388251,-0.2165360839314717,-0.0615911703073533,3.368571428571418,-1,,,False,False,NONE,NONE,False,False,False,False,False,False
2025-09-03 09:30:00,3533.3,3537.29,3532.47,3536.91,1111,9,0,,3534.0122748510357,,3534.1096413768614,,3534.2037030848924,63.79310344827572,-0.0295016518830379,-0.1785822247666101,0.1490805728835721,3.495714285714289,1,,,True,False,NONE,NONE,False,False,False,False,False,False
2025-09-03 09:45:00,3536.89,3537.25,3534.03,3535.32,981,14,0,3534.2964999999995,3534.156276043008,,3534.1958287906787,,3534.2649785001386,59.10256410256471,0.058838726941758,-0.1305441936336144,0.1893829205753725,3.472857142857135,1,3527.09,3545.98,False,False,NONE,NONE,False,False,False,False,False,False
2025-09-03 10:00:00,3535.25,3536.38,3533.55,3534.96,1052,10,0,3534.0445,3534.2434813300733,,3534.248557109033,,3534.301488583784,59.74082073434188,0.1025703616573991,-0.083487258960003,0.1860576206174022,3.4364285714285807,1,3527.09,3544.1,False,False,NONE,NONE,False,False,False,False,False,False
2025-09-03 10:15:00,3534.97,3535.12,3529.46,3531.96,1214,5,0,3533.6050000000005,3533.9989632413703,,3534.0952125210265,,3534.1835116824486,52.15533980582553,-0.066023146920088,-0.0799684724906399,0.0139453255705518,3.642857142857143,-1,3527.09,3541.51,False,True,NONE,NONE,False,False,False,False,False,False
2025-09-03 10:30:00,3532.0,3537.27,3531.66,3534.3,1214,5,0,3533.4039999999995,3534.0308213397016,,3534.108563282411,,3534.1891528926903,54.0812523294821,-0.0370178224666233,-0.0713273342085903,0.034309511741967,3.890000000000003,1,3527.09,3540.16,False,False,NONE,NONE,False,False,False,False,False,False
2025-09-03 10:45:00,3534.31,3535.82,3533.83,3533.91,1031,5,0,3533.519,3534.01816905258,,3534.0959460613008,,3534.176135165743,49.36254980079649,-0.0408643916402979,-0.0652058377452082,0.0243414461049102,3.823571428571476,-1,3527.09,3538.28,False,False,NONE,NONE,False,False,False,False,False,False
2025-09-03 11:00:00,3533.81,3539.87,3533.81,3536.58,1302,5,0,3533.8065,3534.283921798814,,3534.2500405909755,,3534.284267906723,48.52166869177801,0.1422048175359123,-0.0235663973307612,0.1657712148666735,3.972857142857168,1,3527.09,3539.87,False,False,NONE,NONE,True,False,True,False,False,False
2025-09-03 11:15:00,3536.57,3541.11,3535.74,3541.05,1152,5,0,3534.306,3534.979890217546,,3534.6624553908987,,3534.578308930537,57.27715877437371,0.5969162342125856,0.1009063246966497,0.4960099095159358,4.192857142857163,1,3527.09,3541.11,False,False,BOS_BULLISH,NONE,False,False,False,False,False,False
2025-09-03 11:30:00,3540.9,3541.0,3536.12,3538.67,1173,5,0,3534.717,3535.3565884601758,,3534.9004110375063,,3534.750369455573,54.97994652406412,0.7755261311340291,0.2361573027831995,0.5393688283508296,4.2842857142857484,1,3527.09,3541.11,False,False,BOS_BULLISH,NONE,False,False,False,False,False,False
2025-09-03 11:45:00,3538.61,3540.74,3538.52,3540.07,1011,15,0,3535.178,3535.8344774248267,,3535.2012990237617,,3534.9671087721927,58.77510701350069,1.005861089486643,0.3903964019308541,0.6154646875557892,4.217857142857156,1,3527.09,3541.11,False,False,BOS_BULLISH,NONE,False,False,False,False,False,False
2025-09-03 12:00:00,3540.07,3541.89,3539.74,3540.12,1011,12,0,3535.5785000000005,3536.266326730404,,3535.4822498285857,,3535.1707828321114,63.520227111426216,1.177482796287677,0.5480576497663928,0.6294251465212842,4.170714285714309,1,3527.09,3541.89,True,False,NONE,NONE,False,False,False,False,False,False
2025-09-03 12:15:00,3540.11,3541.2,3538.24,3538.28,1066,10,0,3535.781,3536.4681270599403,,3535.6392435569715,,3535.290147948233,65.1857246904591,1.1641558100423026,0.6714300094053128,0.4927258006369898,3.9350000000000422,1,3527.09,3541.89,False,False,NONE,NONE,False,False,False,False,False,False
2025-09-03 12:30:00,3538.24,3539.21,3536.05,3537.29,1227,11,0,3535.78,3536.5500831918494,,3535.730335240361,,3535.3648005714394,58.23436262866155,1.0678531508260676,0.7507932352213714,0.3170599156046961,3.9135714285714585,1,3527.09,3541.89,False,False,NONE,NONE,False,False,False,False,False,True
2025-09-03 12:45:00,3537.26,3538.89,3534.01,3534.37,1108,6,0,3535.655,3536.333657773331,,3535.6564491885106,,3535.3286552059085,51.89285714285702,0.7653124269395448,0.7536993760469823,0.0116130508925624,3.990000000000009,-1,3527.09,3541.89,False,False,NONE,NONE,False,False,False,False,False,False
2025-09-03 13:00:00,3534.44,3536.02,3533.05,3533.48,1193,15,0,3535.5445,3536.0515026916246,,3535.539994578597,,3535.2632122924856,43.21866350336144,0.4540954378312563,0.6937405850051106,-0.2396451471738543,3.8578571428571258,-1,3527.09,3541.89,False,False,NONE,NONE,False,False,False,False,False,True
2025-09-03 13:15:00,3533.49,3537.06,3532.38,3536.76,1008,6,0,3535.6455,3536.121301437597,,3535.604353289398,,3535.314883952257,52.66864343958488,0.4497671967606038,0.644921152963277,-0.1951539562026731,3.962142857142843,1,3527.09,3541.89,False,True,NONE,NONE,False,False,False,False,False,False
2025-09-03 13:30:00,3536.78,3538.82,3535.08,3535.1,1178,9,0,3535.7755000000006,3536.0210150816297,,3535.57810259636,,3535.30764369603,50.24752475247501,0.3169568546063601,0.57930167486924,-0.2623448202628798,4.027142857142865,-1,3527.09,3541.89,False,False,NONE,NONE,False,False,False,False,False,False
