time,open,high,low,close,tick_volume,spread,real_volume,SMA_20,EMA_20,SMA_50,EMA_50,SMA_200,EMA_200,RSI,MACD,MACD_SIGNAL,MACD_HIST,ATR,trend,support,resistance,swing_high,swing_low,structure
2026-01-27 05:25:00,5070.79,5072.1,5063.81,5064.72,2503,4,0,,5064.72,,5064.72,,5064.72,,0.0,0.0,0.0,,0,,,False,False,NONE
2026-01-27 05:30:00,5064.72,5070.21,5064.15,5067.36,2299,4,0,,5066.106000000001,,5066.0664,,5066.046600000001,,0.059230769230453006,0.03290598290580723,0.02632478632464578,,1,,,False,False,NONE
2026-01-27 05:35:00,5067.36,5074.49,5066.13,5073.87,1902,4,0,,5068.956894254788,,5068.772327689642,,5068.680521245657,,0.2773464669899113,0.13308650916978426,0.14425995782012702,,1,,,False,False,NONE
2026-01-27 05:40:00,5073.87,5076.39,5073.55,5074.74,1501,4,0,,5070.6263874688275,,5070.354930047982,,5070.218189342454,,0.4011637230669294,0.22389857349808545,0.17726514956884393,,1,,,False,False,NONE
2026-01-27 05:45:00,5074.74,5076.45,5073.36,5076.22,1472,4,0,,5071.979434739508,,5071.623623120268,,5071.44267814725,,0.5188912679495843,0.3116522308194499,0.20723903713013436,,1,,,False,False,NONE
2026-01-27 05:50:00,5076.22,5076.64,5071.71,5074.52,2240,4,0,,5072.51537796305,,5072.155885703619,,5071.968472345041,,0.50721506201171,0.36466063115562936,0.1425544308560806,,1,,,False,False,NONE
2026-01-27 05:55:00,5074.52,5079.17,5071.94,5076.91,1987,4,0,,5073.346292215387,,5072.919202255184,,5072.695758426877,,0.5992614219712777,0.42403183273147854,0.1752295892397992,,1,,,True,False,NONE
2026-01-27 06:00:00,5076.91,5078.65,5075.68,5076.14,1782,4,0,,5073.8291986437525,,5073.380370992166,,5073.141507093801,,0.6147249521536651,0.4698589753135355,0.14486597684012958,,1,,,False,False,NONE
2026-01-27 06:05:00,5076.12,5077.04,5072.46,5072.54,1612,4,0,,5073.622404877421,,5073.27137498184,,5073.071968579009,,0.4374707494962422,0.4623771344709239,-0.024906384974681672,,-1,,,False,False,NONE
2026-01-27 06:10:00,5072.54,5074.21,5068.55,5069.44,1973,4,0,,5072.992570942727,,5072.815679381596,,5072.692211076251,,0.14568770444748225,0.3914203183494894,-0.24573261390200718,,-1,,,False,True,NONE
2026-01-27 06:15:00,5069.44,5076.09,5069.43,5074.29,1877,4,0,,5073.177704760131,,5072.97808464083,,5072.844835661687,,0.1911840171642325,0.3476097597875802,-0.15642574262334769,,1,,,False,False,NONE
2026-01-27 06:20:00,5074.29,5075.21,5073.31,5074.55,1667,4,0,,5073.364650008391,,5073.1397705008185,,5072.994877594701,,0.2362206630405126,0.32368805328465333,-0.08746739024414074,,1,,,False,False,NONE
2026-01-27 06:25:00,5074.55,5075.83,5072.07,5074.8,1644,4,0,,5073.552485693233,,5073.3003222119905,,5073.142216426566,,0.28060953789281484,0.3145711427491253,-0.033961604856310446,,1,,,True,False,NONE
2026-01-27 06:30:00,5074.8,5075.31,5072.39,5072.41,1217,4,0,,5073.408118622703,,5073.21890462496,,5073.0864480507635,,0.17167542114657408,0.2846772511731235,-0.1130018300265494,4.946428571428571,-1,,,False,False,NONE
2026-01-27 06:35:00,5072.41,5072.41,5067.34,5068.08,1952,4,0,,5072.75516806772,,5072.772292798718,,5072.728817962282,54.780876494023396,-0.16961687764705857,0.19050503511900924,-0.3601219127660678,4.716428571428553,-1,,,False,False,BOS_BEARISH
2026-01-27 06:40:00,5068.18,5068.77,5061.6,5066.65,2668,4,0,,5072.0268811025,,5072.264437477353,,5072.319736154736,48.95372826407308,-0.5131844947454738,0.0456909757472073,-0.558875470492681,4.7957142857142445,-1,,,False,True,NONE
2026-01-27 06:45:00,5066.61,5067.24,5062.47,5065.26,2230,4,0,,5071.238617657074,,5071.7077538398735,,5071.870409315287,35.057271780632504,-0.8548536451462496,-0.13856707077988112,-0.7162865743663684,4.539285714285662,-1,,,False,False,NONE
