time,open,high,low,close,tick_volume,spread,real_volume,SMA_20,EMA_20,SMA_50,EMA_50,SMA_200,EMA_200,RSI,MACD,MACD_SIGNAL,MACD_HIST,ATR,trend,support,resistance
2026-01-05 18:15:00,4446.45,4448.77,4440.31,4440.74,5726,4,0,,4440.74,,4440.74,,4440.74,,0.0,0.0,0.0,,0,,
2026-01-05 18:30:00,4440.74,4445.92,4440.09,4445.14,4917,4,0,,4443.05,,4442.9839999999995,,4442.950999999999,,0.09871794871742168,0.054843304843012045,0.04387464387440963,,1,,
2026-01-05 18:45:00,4445.12,4454.42,4440.81,4441.82,7760,4,0,,4442.598351373855,,4442.580378616184,,4442.5702237481355,,0.02283325953703752,0.0417244338159733,-0.01889117427893578,,-1,,
2026-01-05 19:00:00,4441.82,4442.45,4432.35,4442.45,9129,4,0,,4442.5555246259355,,4442.545802738904,,4442.539715476801,,0.010505740106054873,0.03114899556735595,-0.020643255461301076,,-1,,
2026-01-05 19:15:00,4442.45,4449.09,4442.37,4445.93,5827,4,0,,4443.37178150276,,4443.2778498680145,,4443.23140098316,,0.1420631871205842,0.06414345997514635,0.07791972714543784,,1,,
2026-01-05 19:30:00,4445.93,4447.45,4437.73,4439.53,6128,4,0,,4442.561341088279,,4442.589113444685,,4442.598976019583,,-0.05519100886340311,0.03179718405178205,-0.08698819291518517,,-1,,
2026-01-05 19:45:00,4439.56,4445.72,4439.12,4443.54,7179,4,0,,4442.746381264906,,4442.74178698198,,4442.737474413484,,0.0009183569100059685,0.023982576674346452,-0.023064219764340484,,1,,
2026-01-05 20:00:00,4443.5,4448.22,4441.88,4447.2,6732,4,0,,4443.516211641766,,4443.380134568389,,4443.315007896278,,0.21259554257812852,0.06930981924863525,0.14328572332949327,,1,,
2026-01-05 20:15:00,4447.21,4448.53,4439.84,4441.35,5661,4,0,,4443.168740702168,,4443.116826374218,,4443.08783895335,,0.06570348723835195,0.06847673866315444,-0.002773251424802489,,-1,,
2026-01-05 20:30:00,4441.35,4445.82,4441.05,4443.52,3593,4,0,,4443.221637308819,,4443.16477898869,,4443.133025577709,,0.07232156967984338,0.06933820400302698,0.0029833656768163963,,1,,
2026-01-05 20:45:00,4443.52,4448.58,4442.68,4448.58,3123,4,0,,4443.986237218534,,4443.761298064104,,4443.653333486173,,0.3456640422327837,0.1297967184995221,0.2158673237332616,,1,,
2026-01-05 21:00:00,4448.61,4449.42,4434.84,4440.04,6537,4,0,,4443.44864860416,,4443.378528550303,,4443.335386688492,,0.07225195155297115,0.11743851589374545,-0.045186564340774296,,-1,,
2026-01-05 21:15:00,4440.05,4442.96,4437.81,4441.74,4851,4,0,,4443.225047961394,,4443.220075419164,,4443.205167036703,,-0.03544642332872172,0.08508275106660043,-0.12052917439532215,,-1,,
2026-01-05 21:30:00,4441.74,4445.83,4441.14,4442.66,4189,4,0,,4443.153647225807,,4443.1688580188,,4443.16364505075,,-0.06228003934938897,0.05425434536187698,-0.11653438471126595,7.93999999999986,-1,,
